player,o/u,stat,line,projection
Andrew Wiggins,over,points,15.5,15.66
Chris Paul,over,rebounds,3.5,2.99
Deni Avdija,under,points,16.5,16.07
Desmond Bane,over,points,18.5,18.7
Donovan Clingan,under,points,8.5,7.93
Grayson Allen,over,rebounds,2.5,4.6
Immanuel Quickley,under,points,16.5,17.77
Jaime Jaquez Jr.,over,points,7.5,6.17
Kyrie Irving,under,points,27.5,24.2
Luka Dončić,over,points,23.5,
Malik Beasley,over,points,15.5,16.54
Michael Porter Jr.,over,points,17.5,23.05
RJ Barrett,over,points,18.5,20.99
Rudy Gobert,over,points,11.5,11.74
Zach LaVine,over,points,21.5,21.99
