player,o/u,stat,line,projection
De'Andre Hunter,over,points,14.5,16.26
De'Andre Hunter,over,points,14.5,16.26
De'Andre Hunter,over,points,14.5,16.26
De'Andre Hunter,over,points,14.5,16.26
De'Andre Hunter,over,points,14.5,
De'Andre Hunter,over,points,14.5,
De'Andre Hunter,over,points,14.5,
De'Andre Hunter,over,points,14.5,
Caris LeVert,under,points,13.5,8.48
Caris LeVert,under,points,13.5,8.48
Caris LeVert,under,points,13.5,8.48
Caris LeVert,under,points,13.5,
Caris LeVert,under,points,13.5,
Caris LeVert,under,points,13.5,
Caris LeVert,under,points,13.5,
Jaylin Williams,over,rebounds,5.5,7.07
Jaylin Williams,over,rebounds,5.5,7.07
Jaylin Williams,over,rebounds,5.5,7.07
Jaylin Williams,over,rebounds,5.5,7.07
Jaylin Williams,over,rebounds,5.5,
Jaylin Williams,over,rebounds,5.5,
Jaylin Williams,over,rebounds,5.5,
Jeremy Sochan,over,points,7.5,10.21
Jeremy Sochan,over,points,7.5,10.21
Jeremy Sochan,over,points,7.5,10.21
Jeremy Sochan,over,points,7.5,
Jeremy Sochan,over,points,7.5,
Jeremy Sochan,over,points,7.5,
Jeremy Sochan,over,points,7.5,
Tyler Herro,over,points,21.5,22.02
Tyler Herro,over,points,21.5,22.02
Tyler Herro,over,points,21.5,22.02
Tyler Herro,over,points,21.5,22.02
Tyler Herro,over,points,21.5,
Tyler Herro,over,points,21.5,
Tyler Herro,over,points,21.5,
Andrew Wiggins,over,points,15.5,15.66
Andrew Wiggins,over,points,15.5,15.66
Andrew Wiggins,over,points,15.5,15.66
Andrew Wiggins,over,points,15.5,15.66
Andrew Wiggins,over,points,15.5,
Andrew Wiggins,over,points,15.5,
Chris Paul,over,rebounds,3.5,2.99
Chris Paul,over,rebounds,3.5,2.99
Chris Paul,over,rebounds,3.5,2.99
Chris Paul,over,rebounds,3.5,2.99
Chris Paul,over,rebounds,3.5,
Chris Paul,over,rebounds,3.5,
Deni Avdija,under,points,16.5,16.07
Deni Avdija,under,points,16.5,16.07
Deni Avdija,under,points,16.5,16.07
Deni Avdija,under,points,16.5,
Deni Avdija,under,points,16.5,
Deni Avdija,under,points,16.5,
Desmond Bane,over,points,18.5,18.7
Desmond Bane,over,points,18.5,18.7
Desmond Bane,over,points,18.5,18.7
Desmond Bane,over,points,18.5,18.7
Desmond Bane,over,points,18.5,
Desmond Bane,over,points,18.5,
Donovan Clingan,under,points,8.5,7.93
Donovan Clingan,under,points,8.5,7.93
Donovan Clingan,under,points,8.5,7.93
Donovan Clingan,under,points,8.5,
Donovan Clingan,under,points,8.5,
Donovan Clingan,under,points,8.5,
Grayson Allen,over,rebounds,2.5,4.6
Grayson Allen,over,rebounds,2.5,4.6
Grayson Allen,over,rebounds,2.5,4.6
Grayson Allen,over,rebounds,2.5,4.6
Grayson Allen,over,rebounds,2.5,
Grayson Allen,over,rebounds,2.5,
Immanuel Quickley,under,points,16.5,17.77
Immanuel Quickley,under,points,16.5,17.77
Immanuel Quickley,under,points,16.5,17.77
Immanuel Quickley,under,points,16.5,
Immanuel Quickley,under,points,16.5,
Immanuel Quickley,under,points,16.5,
Jaime Jaquez Jr.,over,points,7.5,6.17
Jaime Jaquez Jr.,over,points,7.5,6.17
Jaime Jaquez Jr.,over,points,7.5,6.17
Jaime Jaquez Jr.,over,points,7.5,6.17
Jaime Jaquez Jr.,over,points,7.5,
Jaime Jaquez Jr.,over,points,7.5,
Kyrie Irving,under,points,27.5,24.2
Kyrie Irving,under,points,27.5,24.2
Kyrie Irving,under,points,27.5,
