,id,name,team,points_line,points_l20Rate,points_l10Rate,points_l5Rate,points_vsOpp,points_vsOppGames,reb_line,reb_l20Rate,reb_l10Rate,reb_l5Rate,reb_vsOpp,reb_vsOppGames,ast_line,ast_l20Rate,ast_l10Rate,ast_l5Rate,ast_vsOpp,ast_vsOppGames,player_url,site,points_projection,rebounds_projection,assists_projection
0,47ff78e7-5607-48d6-9c1a-bddb075dbe70,Alperen Sengün,HOU,19.5,45.0,30.0,40.0,18.0,11.0,10.5,30.0,30.0,40.0,18.0,11.0,4.5,50.0,40.0,40.0,45.0,11.0,https://api.props.cash/nba/player-feed?playerId=47ff78e7-5607-48d6-9c1a-bddb075dbe70&int=0,home,,,
1,22038780-8c50-4211-a99e-656d983e5207,Domantas Sabonis,SAC,18.5,60.0,40.0,40.0,50.0,14.0,14.5,50.0,40.0,60.0,21.0,14.0,5.5,55.0,40.0,20.0,64.0,14.0,https://api.props.cash/nba/player-feed?playerId=22038780-8c50-4211-a99e-656d983e5207&int=0,away,17.35,13.54,4.69
2,7ff3c32f-2552-454d-9dee-a1d52000458a,Yves Missi,NOP,8.5,45.0,40.0,40.0,0.0,3.0,8.5,30.0,30.0,40.0,100.0,3.0,1.5,45.0,40.0,60.0,0.0,3.0,https://api.props.cash/nba/player-feed?playerId=7ff3c32f-2552-454d-9dee-a1d52000458a&int=0,home,6.93,7.14,0.95
3,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,Jonas Valančiūnas,SAC,7.5,65.0,50.0,40.0,25.0,4.0,5.5,65.0,40.0,40.0,50.0,4.0,1.5,50.0,60.0,40.0,50.0,4.0,https://api.props.cash/nba/player-feed?playerId=c8788ad2-89f7-4ec9-a22b-dcaf6190889b&int=0,away,,,
4,11c303dc-540c-4090-8e0c-76c2fb2c125a,Bam Adebayo,MIA,17.5,55.0,80.0,100.0,67.0,6.0,10.5,50.0,60.0,60.0,67.0,6.0,3.5,60.0,70.0,80.0,50.0,6.0,https://api.props.cash/nba/player-feed?playerId=11c303dc-540c-4090-8e0c-76c2fb2c125a&int=0,away,19.1,9.85,3.43
5,f1e4fcb7-01c7-479f-8883-c33ac438690e,Kel'el Ware,MIA,10.5,35.0,30.0,20.0,,0.0,8.5,45.0,60.0,60.0,,0.0,1.5,30.0,40.0,40.0,,0.0,https://api.props.cash/nba/player-feed?playerId=f1e4fcb7-01c7-479f-8883-c33ac438690e&int=0,away,8.75,7.83,0.95
6,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,Rudy Gobert,MIN,11.5,60.0,80.0,80.0,69.0,13.0,10.5,50.0,50.0,60.0,62.0,13.0,1.5,50.0,40.0,20.0,23.0,13.0,https://api.props.cash/nba/player-feed?playerId=37fbc3a5-0d10-4e22-803b-baa2ea0cdb12&int=0,home,13.6,10.81,1.48
7,823b2161-0c34-494c-9d7c-b438152f4f4d,Naz Reid,MIN,17.5,40.0,40.0,60.0,33.0,12.0,6.5,40.0,40.0,80.0,50.0,12.0,2.5,45.0,60.0,60.0,17.0,12.0,https://api.props.cash/nba/player-feed?playerId=823b2161-0c34-494c-9d7c-b438152f4f4d&int=0,home,18.1,8.41,2.89
8,eb91a4c8-1a8a-46bf-86e6-e16950b67ef6,Chet Holmgren,OKC,13.5,55.0,50.0,40.0,33.0,9.0,6.5,55.0,40.0,20.0,22.0,9.0,1.5,40.0,40.0,0.0,44.0,9.0,https://api.props.cash/nba/player-feed?playerId=eb91a4c8-1a8a-46bf-86e6-e16950b67ef6&int=0,away,12.4,6.55,0.91
9,38745a56-7472-4844-a2dc-f61d3bcd941f,Isaiah Hartenstein,OKC,8.5,65.0,60.0,60.0,22.0,9.0,10.5,60.0,70.0,40.0,11.0,9.0,3.5,60.0,50.0,40.0,22.0,9.0,https://api.props.cash/nba/player-feed?playerId=38745a56-7472-4844-a2dc-f61d3bcd941f&int=0,away,10.3,9.34,2.59
